exposure	outcome	causal_beta_raw	sd_raw	pval_raw	OR_raw	L95_raw	U95_raw	global_p	causal_beta_corrected	sd_corrected	pval_corrected	OR_corrected	L95_corrected	U95_corrected	n_outliers
groEL	uc	0.0281713450539604	0.0812552820837911	0.751709068965101	1.02857191003273	0.877139698615	1.2061478642215	0.474							0
hpylori_general	afib	0.0736502138418824	0.0850651962628671	0.409081368914523	1.07643021924686	0.911122820998353	1.27172977144641	0.121							0
hpylori_general	alzheimer	-0.0279858912495455	0.112387794817216	0.808391405056862	0.97240208608284	0.780152419251754	1.21202702662276	0.011	-0.0818774807727051	0.105596666875811	0.458003873988943	0.921384839139728	0.749126852104849	1.13325269199898	1
hpylori_general	atopic	0.027424202880213	0.10726063268551	0.80394693831854	1.02780370759397	0.832929197702533	1.26827161811318	0.253							0
hpylori_general	cad	0.0570292858757273	0.0820064621440367	0.506483852122912	1.05868681451199	0.901492658585474	1.24329106903678	0.237							0
hpylori_general	crc	-0.218688122859923	0.115493762112264	0.0908260411209674	0.803572294906195	0.640788457135203	1.00770921503126	0.794							0
hpylori_general	crohn	-0.00693580529061051	0.344740475440698	0.98434428258271	0.993088191894917	0.505287786809056	1.95180683687057	0.005	-0.279266226426939	0.219915620162293	0.23597638450362	0.756338519107853	0.49149631251045	1.16389063544418	1
hpylori_general	ida	-0.0674678517290707	0.0911658858804118	0.47812593914973	0.934757770979066	0.78180260931549	1.11763772593543	0.809							0
hpylori_general	itp	0.054144165190622	0.67583202383157	0.937899106829085	1.05563677726286	0.280695001926977	3.97003508384458	0.059							0
hpylori_general	pancan	-0.155616596594523	0.230055527994862	0.515772848777113	0.855887277569049	0.545242062545975	1.34351892897623	0.934							0
hpylori_general	parkinson	0.000171766638463822	0.132584969091893	0.998998046754771	1.0001717813912	0.771286967654955	1.29697976789718	0.942							0
hpylori_general	ra	-0.16481926817299	0.0724381034605819	0.0570290886143661	0.848046959314797	0.735799253425127	0.977418286109005	0.992							0
hpylori_general	sle	-0.160318727976587	0.358471795097233	0.670402094048689	0.851872230179583	0.421926797190169	1.71993412455398	0.468							0
hpylori_general	stroke_isch	-0.16190337464884	0.0967733177493597	0.125269735997805	0.850523382690445	0.703576210758232	1.02816157431419	0.424							0
hpylori_general	uc	0.038165929974223	0.196629998932494	0.849983651443526	1.03890360382555	0.706643581692916	1.52739050633698	0.393							0
omp	afib	-0.0217590043127026	0.0254066497698198	0.416674204027783	0.978476015138849	0.930944108016104	1.02843479426741	0.05							0
omp	alzheimer	-0.0351614623827881	0.0147830224471876	0.0489898212594008	0.965449519892262	0.937877264724169	0.993832360073607	0.859							0
omp	asthma	-0.113449532388145	0.13995046615106	0.476910596845544	0.89274925019694	0.678580307712601	1.17451275061868	0.056							0
omp	atopic	0.00685534345958084	0.0553690804422808	0.904518583786556	1.00687889511402	0.903329358286266	1.12229841765506	0.001	0.0211229646495303	0.0213922585279443	0.36157108592245	1.02134763357011	0.979409086571268	1.06508199985274	2
omp	cad	0.00778439262388552	0.0263611196158489	0.777718258586071	1.00781476977956	0.957065543065002	1.06125501805558	0.091							0
omp	crc	0.0317916064270261	0.027304939016621	0.277840059641478	1.0323023577115	0.978508237145966	1.08905384470233	0.603							0
omp	crohn	-0.179480084337217	0.0797768800395773	0.0592177090507435	0.835704594388312	0.714735475401862	0.977147760420111	0.156							0
omp	ida	0.0569959222818424	0.036537259941874	0.157394585170698	1.05865149350428	0.985489204089081	1.13724531942974	0.087							0
omp	itp	0.195180796349203	0.142612564383569	0.208317042875095	1.21553073014306	0.919118859000026	1.60753415236155	0.249							0
omp	ms	-0.651297452590438	0.499971297680358	0.249455784394527	0.521368886327209	0.195686537973569	1.38908643611851	0.001	-0.688780672260319			0.502188027693873			5
omp	pancan	-0.0758376288711655	0.0943333592861326	0.444665880141223	0.926966706971194	0.770488142982294	1.11522452831927	0.332							0
omp	parkinson	0.0412194019059342	0.0377650765123179	0.316944960208442	1.04208071496089	0.967731943372342	1.12214154335875	0.828							0
omp	ra	0.352032626711206	0.257602171710856	0.214030941528895	1.42195491667416	0.858243320096539	2.35592370800671	0.001	0.156984581357775	0.0246009847035035	0.0236887541672213	1.16997757429621	1.11490215905892	1.22777367792657	5
omp	sle	0.406579512314881	0.225690984943063	0.114634587111752	1.50167253807872	0.964857537405077	2.33715374985255	0.001	0.168350922535721	0.0384882422563165	0.0221096380520126	1.18335180260866	1.09736732218682	1.27607361767127	4
omp	stroke_isch	-0.0312096977367991	0.0225367660302245	0.203496632144774	0.969272297556423	0.927389379354282	1.01304673929353	0.679							0
omp	t2d	0.0127788727930501	0.0564265737936894	0.835390115494628	1.01286087149939	0.906814643583641	1.1313085339693	0.035	0.026832387703453	0.0911503340351923	0.817743162888313	1.02719561771724	0.859140964868581	1.22812306734658	2
omp	uc	0.112372240882753	0.0738058477320537	0.171689550569261	1.11892929436168	0.968228446912783	1.29308612009156	0.145							0
ureA	afib	0.00231159057472444	0.014548270759948	0.877263033038215	1.00231426436005	0.974137300065336	1.0313062485876	0.541							0
ureA	alzheimer	-0.00597762314329424	0.0107042286458807	0.590167473745429	0.994040207300346	0.973402209906262	1.01511576989831	0.953							0
ureA	atopic	-0.0164673520934213	0.0225947693566655	0.48464827841687	0.983667493550873	0.941055557681809	1.02820894045007	0.384							0
ureA	cad	0.0144230344173479	0.015569685512278	0.385087402167093	1.01452754824258	0.984035260051004	1.04596470058374	0.508							0
ureA	crc	-0.0523432795767337	0.0301362121562808	0.116418735908625	0.949003037559768	0.894571670774936	1.00674635104139	0.336							0
ureA	crohn	0.0404966708820809	0.0819925538358768	0.633201495220108	1.04132784299357	0.886735325022711	1.2228718604008	0.028							1
ureA	ida	0.0123852378593262	0.0126430469587552	0.352876374660876	1.01246225253769	0.987681369080215	1.037864887305	0.987							0
ureA	itp	0.226402068809273	0.151976570047938	0.17048365221212	1.25407979029294	0.931022337956157	1.68923564591771	0.045	0.0821846133476558	0.117294548847858	0.503375398222097	1.08565621795877	0.862678924932486	1.36626662542473	1
ureA	ms	0.00445911109618398	0.0477926198639951	0.929287513220592	1.00446906772581	0.914649429905769	1.10310909844649	0.614							0
ureA	pancan	-0.0418313822925713	0.120787895060433	0.737060234693315	0.959031476628633	0.756861004045165	1.2152051278224	0.008	-0.125439587215178	0.102838388556877	0.257287415831103	0.882109053481784	0.721081703237421	1.07909600082909	1
ureA	parkinson	0.063766168055297	0.0395100979328588	0.141002218014599	1.06584314144597	0.986419435466317	1.15166181983262	0.738							0
ureA	ra	-0.0236248931081302	0.0409610805475749	0.582162816817585	0.976651989948891	0.901307663280305	1.05829468485778	0.239							0
ureA	sle	0.017265968075381	0.055856416143949	0.765132504788724	1.01741588648812	0.911911249701635	1.13512700541538	0.617							0
ureA	stroke_isch	-0.00551482125361271	0.0257059318031062	0.834911996278573	0.994500357457672	0.945635162546356	1.04589063536959	0.34							0
ureA	t2d	-0.0267410234874574	0.050629269620909	0.625323751069114	0.973613351868031	0.881637423514468	1.07518457548796	0.008	-0.0843046060827559	0.0099257524132963	0.00342727005003763	0.919151234392164	0.901442446043913	0.937207910934653	1
ureA	uc	-0.0371498873486213	0.0530526360375129	0.501472692088731	0.963531703312734	0.868373763423544	1.06911721932796	0.403							0
vacA	afib	-0.0014608741050954	0.00823181128452782	0.861683692108147	0.998540192452048	0.982558667824712	1.01478165995891	0.891							0
vacA	alzheimer	-0.00290006073837096	0.00964949112479204	0.768181832174279	0.997104140375629	0.97842312110405	1.0161418360927	0.822							0
vacA	atopic	0.0110797118198353	0.0160451172538261	0.502001520824175	1.01114131914708	0.979837323036889	1.0434454202231	0.408							0
vacA	cad	-0.0156199111620391	0.009086613507428	0.119732591021202	0.984501446960997	0.967122923078005	1.00219225078808	0.854							0
vacA	crc	-0.00757327115746455	0.0182831109409485	0.684987797519403	0.992455333803955	0.957520480498305	1.02866477496474	0.654							0
vacA	crohn	-0.0559428060050005	0.0272434040016236	0.0592035743571539	0.945593216597537	0.896425690481451	0.997457503471426	0.937							0
vacA	ida	-0.0317107242611859	0.0175814164331098	0.0928416360018089	0.968786788062717	0.935971454339553	1.00275263350541	0.497							0
vacA	itp	-0.062611117363981	0.0664792098405637	0.362256126370961	0.939308683509531	0.824555876882228	1.07003154989632	0.738							0
vacA	ms	-0.135839964049413	0.111544289032364	0.269009643972762	0.872982329867126	0.701547429237373	1.0863102286451	0.001	-0.00830746899710414	0.0480127324497242	0.869417008394625	0.991726942666257	0.902657196857959	1.08958565027087	1
vacA	pancan	-0.0394233979138513	0.0476247454806443	0.421675314656076	0.961343592094806	0.875668311966012	1.05540133111225	0.757							0
vacA	parkinson	0.0117344158201409	0.0361135721000729	0.750038014749601	1.01180353416736	0.942661345458234	1.08601715418373	0.189							0
vacA	ra	-0.0174366059979608	0.0414271937183133	0.68193580148799	0.982714531897488	0.906074355982546	1.06583730664716	0.01	0.0136059588143275	0.0329955135170934	0.688778101006117	1.01369894109775	0.950216669077352	1.08142234989466	1
vacA	sle	-0.106471123549394	0.106118118761925	0.345081739595692	0.899001007744614	0.730181141687829	1.10685248602512	0.001	0.0247052531268721	0.0611569657729894	0.698295279044054	1.0250129566318	0.909225264487402	1.15554593817342	1
vacA	stroke_isch	0.0346502216432849	0.0157684133842797	0.0453167681695658	1.03525753478371	1.00375114942616	1.06775286278791	0.543							0
vacA	t2d	-0.0416676382315065	0.0216199187985098	0.126209650304276	0.95918852519484	0.919392016455492	1.00070765288181	0.431							0
vacA	uc	-0.0588390002252645	0.0277634799002963	0.0524253613238029	0.942858556953148	0.892922559965237	0.995587185583465	0.839							0
